Platform,Subject,Units,Modules,Total Questions
Cerebellum,Anatomy,10,66,1140
Cerebellum,Physiology,8,59,1248
Cerebellum,Biochemistry,9,103,1220
Cerebellum,Pharmacology,16,73,1213
Cerebellum,Pathology,23,97,1231
Cerebellum,Microbiology,8,105,1148
Cerebellum,Preventive & Social Medicine,25,122,1326
Cerebellum,Ophthalmology,12,50,740
Cerebellum,ENT,5,25,1163
Cerebellum,Forensic Medicine,13,27,851
Cerebellum,Medicine,10,77,2261
Cerebellum,Surgery,10,56,1313
Cerebellum,Pediatrics,16,108,727
Cerebellum,Obstetrics & Gynecology,28,113,1877
Cerebellum,Orthopedics,11,22,1170
Cerebellum,Psychiatry,19,37,603
Cerebellum,Radiology,18,37,518
Cerebellum,Dermatology,16,42,707
Cerebellum,Anesthesia,14,26,518
Cerebellum,TOTAL,,1245,20974
