Platform,Subject,Modules,Total MCQs
Marrow,Anatomy,63,1115
Marrow,Physiology,43,1012
Marrow,Biochemistry,28,581
Marrow,Pharmacology,67,1275
Marrow,Microbiology,35,614
Marrow,Pathology,71,1371
Marrow,Community Medicine,64,1319
Marrow,Forensic Medicine,21,436
Marrow,Ophthalmology,28,633
Marrow,ENT,38,583
Marrow,Anaesthesia,25,549
Marrow,Dermatology,23,510
Marrow,Psychiatry,33,432
Marrow,Radiology,21,331
Marrow,Medicine,104,1870
Marrow,Surgery,54,1256
Marrow,Orthopaedics,31,501
Marrow,Paediatrics,39,800
Marrow,Obstetrics & Gynaecology,47,989
Marrow,Previous Year Question Papers,323,5738
Marrow,TOTAL,1158,21915
