CEREBELLUM QBANK - TOPIC-WISE MCQ BREAKDOWN
============================================================
Subject,Prof,Modules,Total MCQs,Topic,Topic MCQs
Anatomy,First Prof,66,1140,Basic Concepts Tricks and Magics of Anatomy,2
Anatomy,First Prof,66,1140,General Anatomy,43
Anatomy,First Prof,66,1140,Upper Limb,99
Anatomy,First Prof,66,1140,Lower Limb,104
Anatomy,First Prof,66,1140,Head Neck and Face,200
Anatomy,First Prof,66,1140,Brain,209
Anatomy,First Prof,66,1140,Thorax,81
Anatomy,First Prof,66,1140,Abdomen and Pelvis,196
Anatomy,First Prof,66,1140,Histology,75
Anatomy,First Prof,66,1140,Embryology,131
Physiology,First Prof,59,1248,General Physiology,168
Physiology,First Prof,59,1248,Nerve Muscle,145
Physiology,First Prof,59,1248,CVS,140
Physiology,First Prof,59,1248,Respiratory System,147
Physiology,First Prof,59,1248,Central Nervous System,239
Physiology,First Prof,59,1248,Renal,135
Physiology,First Prof,59,1248,Endocrine,147
Physiology,First Prof,59,1248,GIT,127
Biochemistry,First Prof,103,1220,Concepts,7
Biochemistry,First Prof,103,1220,Carbohydrate Chemistry,37
Biochemistry,First Prof,103,1220,Carbohydrate Metabolism,195
Biochemistry,First Prof,103,1220,Enzymes,127
Biochemistry,First Prof,103,1220,Amino Acids,113
Biochemistry,First Prof,103,1220,Proteins,72
Biochemistry,First Prof,103,1220,Lipids,156
Biochemistry,First Prof,103,1220,Genetics Molecular Biology,245
Biochemistry,First Prof,103,1220,Miscellaneous,268
Pharmacology,Second Prof,73,1213,General Pharmacology,157
Pharmacology,Second Prof,73,1213,Autonomic Nervous System,106
Pharmacology,Second Prof,73,1213,Autacoids,51
Pharmacology,Second Prof,73,1213,Cardiovascular System,111
Pharmacology,Second Prof,73,1213,Kidney,33
Pharmacology,Second Prof,73,1213,Endocrine System,117
Pharmacology,Second Prof,73,1213,Central Nervous System,143
Pharmacology,Second Prof,73,1213,Anaesthesia,27
Pharmacology,Second Prof,73,1213,Hematology,55
Pharmacology,Second Prof,73,1213,Respiratory System,30
Pharmacology,Second Prof,73,1213,Gastrointestinal System,46
Pharmacology,Second Prof,73,1213,Antimicrobial Agents,194
Pharmacology,Second Prof,73,1213,Anti-Cancer Drugs and Immunosuppressants,72
Pharmacology,Second Prof,73,1213,Drug Interactions and Antidotes,35
Pharmacology,Second Prof,73,1213,Miscellaneous Topics,32
Pharmacology,Second Prof,73,1213,New Drugs,4
Pathology,Second Prof,97,1231,Cell Injury,113
Pathology,Second Prof,97,1231,Inflammation,53
Pathology,Second Prof,97,1231,Immunity,111
Pathology,Second Prof,97,1231,Hematology,283
Pathology,Second Prof,97,1231,Gastrointestinal System,81
Pathology,Second Prof,97,1231,Cardiovascular System,77
Pathology,Second Prof,97,1231,Respiratory System,80
Pathology,Second Prof,97,1231,Renal System,86
Pathology,Second Prof,97,1231,Neoplasia,84
Pathology,Second Prof,97,1231,Male and Female Genital Tract,66
Pathology,Second Prof,97,1231,CNS,46
Pathology,Second Prof,97,1231,Endocrinology,56
Pathology,Second Prof,97,1231,Liver,42
Pathology,Second Prof,97,1231,Genetics,51
Pathology,Second Prof,97,1231,Hemodynamics,2
Microbiology,Second Prof,105,1148,General Microbiology,74
Microbiology,Second Prof,105,1148,Immunity,68
Microbiology,Second Prof,105,1148,Bacteriology,432
Microbiology,Second Prof,105,1148,Virology,263
Microbiology,Second Prof,105,1148,Parasitology,131
Microbiology,Second Prof,105,1148,Mycology,105
Microbiology,Second Prof,105,1148,Hospital Infection Control,25
Microbiology,Second Prof,105,1148,Clinical Microbiology,50
PSM,Third Prof,122,1326,Epidemiology,64
PSM,Third Prof,122,1326,Health and Disease,47
PSM,Third Prof,122,1326,Vaccines and Cold Chain,81
PSM,Third Prof,122,1326,Screening of Disease,49
PSM,Third Prof,122,1326,Communicable Diseases,116
PSM,Third Prof,122,1326,Non-communicable Diseases,69
PSM,Third Prof,122,1326,H Programs Schemes Acts,96
PSM,Third Prof,122,1326,Demography and Health,66
PSM,Third Prof,122,1326,Family Planning and Contraception,34
PSM,Third Prof,122,1326,Preventive Obstetrics Paediatrics Geriatrics,70
PSM,Third Prof,122,1326,Nutrition and Health,76
PSM,Third Prof,122,1326,Environment and Health,123
PSM,Third Prof,122,1326,Social Sciences and Health,27
PSM,Third Prof,122,1326,Occupational Health,62
PSM,Third Prof,122,1326,Biomedical Waste Management,30
PSM,Third Prof,122,1326,Disaster Management,26
PSM,Third Prof,122,1326,Genetics and Health,19
PSM,Third Prof,122,1326,Mental Health,16
PSM,Third Prof,122,1326,Health Communication,25
PSM,Third Prof,122,1326,Health Planning,28
PSM,Third Prof,122,1326,Health Management,28
PSM,Third Prof,122,1326,Health Care System in India,42
PSM,Third Prof,122,1326,International Health,24
PSM,Third Prof,122,1326,History of Medicine,16
PSM,Third Prof,122,1326,Biostatistics,92
Ophthalmology,Third Prof,50,740,Optics,76
Ophthalmology,Third Prof,50,740,Lens,43
Ophthalmology,Third Prof,50,740,Glaucoma,79
Ophthalmology,Third Prof,50,740,Cornea,80
Ophthalmology,Third Prof,50,740,Conjunctiva,51
Ophthalmology,Third Prof,50,740,Neuro Ophthalmology,84
Ophthalmology,Third Prof,50,740,Retina,70
Ophthalmology,Third Prof,50,740,Uvea,73
Ophthalmology,Third Prof,50,740,Strabismus,55
Ophthalmology,Third Prof,50,740,Orbit,50
Ophthalmology,Third Prof,50,740,Ocular Adnexa,38
Ophthalmology,Third Prof,50,740,Community Ophthalmology and Miscellaneous,41
ENT,Third Prof,25,1163,Ear,391
ENT,Third Prof,25,1163,Larynx,283
ENT,Third Prof,25,1163,Nose,341
ENT,Third Prof,25,1163,Oral Cavity and Salivary Glands,31
ENT,Third Prof,25,1163,Pharynx and Oesophagus,117
Forensic Medicine,Third Prof,27,851,Medical Law and Ethics,42
Forensic Medicine,Third Prof,27,851,Legal Procedures,47
Forensic Medicine,Third Prof,27,851,Stains,16
Forensic Medicine,Third Prof,27,851,Thanatology,75
Forensic Medicine,Third Prof,27,851,Identification,80
Forensic Medicine,Third Prof,27,851,Asphyxia,63
Forensic Medicine,Third Prof,27,851,Injuries,127
Forensic Medicine,Third Prof,27,851,Thermal Injuries,40
Forensic Medicine,Third Prof,27,851,Sexual Offences,43
Forensic Medicine,Third Prof,27,851,Infanticide and Child Abuse,55
Forensic Medicine,Third Prof,27,851,Forensic Psychiatry,20
Forensic Medicine,Third Prof,27,851,Toxicology,218
Forensic Medicine,Third Prof,27,851,Impotency Sterility Virginity Pregnancy Delivery,25
Medicine,Fourth Prof,77,2261,Cardiology,305
Medicine,Fourth Prof,77,2261,Endocrinology,259
Medicine,Fourth Prof,77,2261,Neurology,240
Medicine,Fourth Prof,77,2261,Pulmonary Medicine and Critical Care,286
Medicine,Fourth Prof,77,2261,Nephrology,150
Medicine,Fourth Prof,77,2261,Rheumatology,163
Medicine,Fourth Prof,77,2261,Medical Oncology,172
Medicine,Fourth Prof,77,2261,Hematology and Transfusion,270
Medicine,Fourth Prof,77,2261,Gastroenterology,208
Medicine,Fourth Prof,77,2261,Extra Advantage Series,208
Surgery,Fourth Prof,56,1313,Gastrointestinal Tract,314
Surgery,Fourth Prof,56,1313,Hepato-Pancreatico-Biliary,146
Surgery,Fourth Prof,56,1313,Trauma,125
Surgery,Fourth Prof,56,1313,Urology,155
Surgery,Fourth Prof,56,1313,Plastic Surgery,64
Surgery,Fourth Prof,56,1313,Paediatric Surgery,34
Surgery,Fourth Prof,56,1313,Vascular Surgery and Lymphatics,101
Surgery,Fourth Prof,56,1313,General Surgery,162
Surgery,Fourth Prof,56,1313,Breast and Endocrine,150
Surgery,Fourth Prof,56,1313,Miscellaneous,62
Paediatrics,Fourth Prof,108,727,Growth and Development,96
Paediatrics,Fourth Prof,108,727,Neonatology,83
Paediatrics,Fourth Prof,108,727,Respiratory System,50
Paediatrics,Fourth Prof,108,727,Cardiovascular System,39
Paediatrics,Fourth Prof,108,727,Behavioral Disorders,11
Paediatrics,Fourth Prof,108,727,Central Nervous System,89
Paediatrics,Fourth Prof,108,727,Immune System Vasculitis,16
Paediatrics,Fourth Prof,108,727,Breast Feeding,33
Paediatrics,Fourth Prof,108,727,Severe Acute Malnutrition,40
Paediatrics,Fourth Prof,108,727,Micronutrients,24
Paediatrics,Fourth Prof,108,727,Vaccines,26
Paediatrics,Fourth Prof,108,727,Infectious Disease Hematology,89
Paediatrics,Fourth Prof,108,727,Renal System,27
Paediatrics,Fourth Prof,108,727,Musculoskeletal System,19
Paediatrics,Fourth Prof,108,727,GIT Hepatology,49
Paediatrics,Fourth Prof,108,727,Inborn Errors of Metabolism,36
OBG,Fourth Prof,113,1877,Basic Obs and Gynae,74
OBG,Fourth Prof,113,1877,Antenatal Care,186
OBG,Fourth Prof,113,1877,Early Pregnancy Complications,139
OBG,Fourth Prof,113,1877,Fetal Assessment,47
OBG,Fourth Prof,113,1877,Labor Normal,85
OBG,Fourth Prof,113,1877,Abnormal Labor,121
OBG,Fourth Prof,113,1877,Medical and Surgical Complications,198
OBG,Fourth Prof,113,1877,Complications Specific to Pregnancy,180
OBG,Fourth Prof,113,1877,Puerperium,24
OBG,Fourth Prof,113,1877,Drugs in Obs,27
OBG,Fourth Prof,113,1877,Operative Obstetrics,29
OBG,Fourth Prof,113,1877,Instruments in Obs,13
OBG,Fourth Prof,113,1877,Preventive and Social Obstetrics,20
OBG,Fourth Prof,113,1877,Physiology of Menstruation,25
OBG,Fourth Prof,113,1877,Amenorrhoea,91
OBG,Fourth Prof,113,1877,Mullerian Anomalies,32
OBG,Fourth Prof,113,1877,Infertility,59
OBG,Fourth Prof,113,1877,Menopause,17
OBG,Fourth Prof,113,1877,Infections in Gynecology,42
OBG,Fourth Prof,113,1877,Benign Gynae Disorders,71
OBG,Fourth Prof,113,1877,Abnormal Uterine Bleeding,17
OBG,Fourth Prof,113,1877,Pelvic Floor Disorders and Urogynecology,32
OBG,Fourth Prof,113,1877,Gynae Oncology,131
OBG,Fourth Prof,113,1877,Instruments in Gynae,34
OBG,Fourth Prof,113,1877,Drugs in Gynae,12
OBG,Fourth Prof,113,1877,Contraception and MTP,100
OBG,Fourth Prof,113,1877,Imaging in Gynecology,17
OBG,Fourth Prof,113,1877,Operative Gynecology,54
Orthopaedics,Fourth Prof,22,1170,Bone and Imaging,28
Orthopaedics,Fourth Prof,22,1170,Bone and Joint Infections,33
Orthopaedics,Fourth Prof,22,1170,Tuberculosis of Bone and Joints,25
Orthopaedics,Fourth Prof,22,1170,Orthopaedics Oncology,59
Orthopaedics,Fourth Prof,22,1170,Nerve Injuries,144
Orthopaedics,Fourth Prof,22,1170,General and Upper Limb Traumatology,176
Orthopaedics,Fourth Prof,22,1170,Spine and Pelvis and Lower Limb Traumatology,225
Orthopaedics,Fourth Prof,22,1170,Arthritis,116
Orthopaedics,Fourth Prof,22,1170,Metabolic Disorders,92
Orthopaedics,Fourth Prof,22,1170,Sports Injury and NM Disorders,185
Orthopaedics,Fourth Prof,22,1170,Pediatric Orthopaedics,87
Psychiatry,Fourth Prof,37,603,Basics of Psychiatry,42
Psychiatry,Fourth Prof,37,603,Schizophrenia and Other Primary Psychotic Disorders,75
Psychiatry,Fourth Prof,37,603,Mood Disorders Depressive,57
Psychiatry,Fourth Prof,37,603,Mood Disorders Bipolar,44
Psychiatry,Fourth Prof,37,603,Anxiety or Fear-Related Disorders,20
Psychiatry,Fourth Prof,37,603,Obsessive-Compulsive and Related Disorders,30
Psychiatry,Fourth Prof,37,603,Impulse Control Disorders,3
Psychiatry,Fourth Prof,37,603,Disorders Specifically Associated with Stress,12
Psychiatry,Fourth Prof,37,603,Somatic Symptoms and Related Disorders,14
Psychiatry,Fourth Prof,37,603,Dissociative Disorders,9
