section,subject,chapter,mcq_count
Main,Anatomy,Cranial Foramen Fossa,9
Main,Anatomy,Tongue,10
Main,Anatomy,Temporomandibular Joint & Muscles of Mastication,9
Main,Anatomy,Dural Venous Sinus & Cavernous Sinus,5
Main,Anatomy,Cranial Nerves,28
Main,Anatomy,Auditory Pathway,3
Main,Anatomy,"Pharynx, Larynx & Carotid Sheath",18
Main,Anatomy,"Blood Vessels of Head & Neck, Subclavian Artery, Scalenus Anterior Muscle, Veins of Face & Transverse Section of the Neck",10
Main,Anatomy,Triangles of Neck,11
Main,Anatomy,Introduction and Spinal Cord,18
Main,Anatomy,"White Matter - Association & Commisural Fibres, White Matter - Projection Fibers Descending Tracts, White Matter - Projection Fibers Ascending Tracts",26
Main,Anatomy,"Brodmann Area, Ventral, Dorsal Aspect of Brainstem",8
Main,Anatomy,"Blood Supply of Brain, Basal Ganglia Internal Capsule",8
Main,Anatomy,"Brainstem (Midbrain, Pons and Medulla)",11
Main,Anatomy,"Cranial Nerve Nuclei, Lateral Ventricles & Third Ventricle",2
Main,Anatomy,Cerebellum,18
Main,Anatomy,Thoracic Wall & Intercostal Space,20
Main,Anatomy,"Intercostal Artery, Intercostal Vein and Intercostal Nerve",15
Main,Anatomy,Coronary Circulation & Venous Drainage of Heart,8
Main,Anatomy,"Pleura, Recess, Sibsons Fascia",6
Main,Anatomy,Tracheobronchial Tree & Root of Lung,6
Main,Anatomy,"Mediastinal Surface of Lungs & Thoracic Duct, Mediastinum, Bronchopulmonary Segments",24
Main,Anatomy,"Anterior Abdominal Wall, Inguinal Canal",10
Main,Anatomy,"Rectus Sheath, Posterior Abdominal Wall, Thoracolumbar Fascia",15
Main,Anatomy,"Stomach, Diaphragm, Abdominal Aorta & Celiac Trunk",15
Main,Anatomy,"Superior Mesenteric Artery, Inferior Mesenteric Artery, Peritoneum",5
Main,Anatomy,"Ivc, Portal Vein, Portocaval Anastomosis",6
Main,Anatomy,"Liver, Kidney",40
Main,Anatomy,Brachial Plexus & Its Clinical Co-relation,16
Main,Anatomy,"Muscles of Arm & Forearm, Anatomical Snuff Box, Exterior Retinaculum & Muscles of Hand",30
Main,Anatomy,Major Nerves of Upper Limb & Pectoral Region,20
Main,Anatomy,"Axillary Artery, Scapular Anastomosis & Brachial Artery",5
Main,Anatomy,"Palmar Arches, Carpal Tunnel & Cubital Fossa",14
Main,Anatomy,"Lumbosacral Plexes, Common Peroneal Nerve & Major Nerves",12
Main,Anatomy,Tibial Nerve & Sole of Foot,13
Main,Anatomy,"Femoral Nerve, Obturator Nerve, Femoral Triangle, Femoral Sheath, Femoral Canal, Femoral Ring & Adductor Canal",30
Main,Anatomy,"Gluteal Region, Greater & Lesser Sciatic Foramen, Iliotibial Tract (Fascia of Thigh Fascia Lata)",20
Main,Anatomy,Arches of Foot,3
Main,Anatomy,Pelvis & Perineum,30
Main,Anatomy,General Embryology,15
Main,Anatomy,Second and Third week of Development,15
Main,Anatomy,Development of Heart,30
Main,Anatomy,Gut Embryology,19
Main,Anatomy,"Embryology of Face, Pharynx, Tongue, Palate, Thyroid Gland, Diaphragm & Respiratory System",20
Main,Anatomy,CNS Embryology,15
