section,subject,topic,question_count
PYQ,Radiology,Radiology - NEET PG 2023,9
PYQ,Radiology,Radiology - INI CET NOVEMBER 2022 (PART - A),5
PYQ,Radiology,Radiology - INI CET NOVEMBER 2022 (PART - B),3
PYQ,Radiology,Radiology - AIIMS JUNE 2020,4
PYQ,Radiology,Radiology - AIIMS MAY 2018,3
PYQ,Radiology,Radiology - AIIMS MAY 2019,5
PYQ,Radiology,Radiology - AIIMS NOV 2018,5
PYQ,Radiology,Radiology - AIIMS NOV 2019,3
PYQ,Radiology,Radiology - INI CET JULY 2021,5
PYQ,Radiology,Radiology - INI CET MAY 2022,1
PYQ,Radiology,Radiology - INI CET NOV 2020,14
PYQ,Radiology,Radiology - INI CET NOV 2021,5
PYQ,Radiology,Radiology - NEET PG 2019,15
PYQ,Radiology,Radiology - NEET PG 2018,10
PYQ,Radiology,Radiology - NEET PG 2020,14
PYQ,Radiology,Radiology - NEET PG 2021,9
PYQ,Radiology,Radiology - NEET PG 2022,4
PYQ,Radiology,Radiology - INI CET MAY 2023,4
PYQ,Radiology,Radiology - INI CET NOV 2023,3
PYQ,Radiology,Radiology - INICET MAY 2024,7
PYQ,Radiology,Radiology - NEET PG 2024,15
PYQ,Radiology,RADIOLOGY-(INICET NOV 2024),3
PYQ,Microbiology,Microbiology - AIIMS JUNE 2020,21
PYQ,Microbiology,Microbiology - AIIMS MAY 2019,14
PYQ,Microbiology,Microbiology - AIIMS MAY 2018,15
PYQ,Microbiology,Microbiology - AIIMS NOV 2018,9
PYQ,Microbiology,Microbiology - AIIMS NOV 2019,12
PYQ,Microbiology,Microbiology - INI CET JULY 2021,14
PYQ,Microbiology,Microbiology - INI CET MAY 2022,9
PYQ,Microbiology,Microbiology - INI CET NOV 2020,12
PYQ,Microbiology,Microbiology - NEET PG 2018,11
PYQ,Microbiology,Microbiology - NEET PG 2019,25
PYQ,Microbiology,Microbiology - NEET PG 2020,19
PYQ,Microbiology,Microbiology - NEET PG 2021,14
PYQ,Microbiology,Microbiology - NEET PG 2022,17
PYQ,Microbiology,Microbiology - INI CET NOV 2021,11
PYQ,Microbiology,Microbiology - INI CET NOV 2022 (PART A),12
PYQ,Microbiology,Microbiology - INI CET NOV 2022 (PART B),11
PYQ,Microbiology,Microbiology - NEET PG 2023,4
PYQ,Microbiology,Microbiology - INI CET MAY 2023,8
PYQ,Microbiology,Microbiology - INI CET NOV 2023,18
PYQ,Microbiology,Microbiology - INICET MAY 2024,13
PYQ,Microbiology,Microbiology - NEET PG 2024,25
PYQ,Microbiology,MICROBIOLOGY-(INICET NOV 2024),15
PYQ,Biochemistry,Biochemistry - INI CET 2020,14
PYQ,Biochemistry,Biochemistry - INI CET NOV 2022,20
PYQ,Biochemistry,Biochemistry - NEET PG 2023,15
PYQ,Biochemistry,Biochemistry - AIIMS JUNE 2O20,11
PYQ,Biochemistry,Biochemistry - AIIMS MAY 2O19,14
PYQ,Biochemistry,Biochemistry - AIIMS NOV 2019,11
PYQ,Biochemistry,Biochemistry - INI CET 2020,14
PYQ,Biochemistry,Biochemistry - INI CET JULY 2021,16
PYQ,Biochemistry,Biochemistry - INI CET MAY 2022,12
PYQ,Biochemistry,Biochemistry - INI CET MAY 2023,10
PYQ,Biochemistry,Biochemistry - INI CET NOV 2021,11
PYQ,Biochemistry,Biochemistry - INI CET NOV 2022,20
PYQ,Biochemistry,Biochemistry - NEET PG 2019,24
PYQ,Biochemistry,Biochemistry - NEET PG 2020,17
PYQ,Biochemistry,Biochemistry - NEET PG 2021,14
PYQ,Biochemistry,Biochemistry - NEET PG 2022,19
PYQ,Biochemistry,Biochemistry- INI CET NOV 2023,8
PYQ,Biochemistry,Biochemistry - NEET PG 2018,12
PYQ,Biochemistry,Biochemistry - AIIMS NOV 2018,7
PYQ,Biochemistry,Biochemistry - INICET MAY 2024,12
PYQ,Biochemistry,Biochemistry - NEET PG 2024,20
PYQ,Biochemistry,BIOCHEMISTRY-(INICET NOV 2024),6
PYQ,Ophthalmology,Ophthalmology - INI CET NOVEMBER 2022 (PART - A),6
PYQ,Ophthalmology,Ophthalmology - INI CET NOVEMBER 2022 (PART - B),6
PYQ,Ophthalmology,Ophthalmology - NEET PG 2023,10
PYQ,Ophthalmology,Ophthalmology - AIIMS JUNE 2020,6
PYQ,Ophthalmology,Ophthalmology - AIIMS MAY 2018,12
PYQ,Ophthalmology,Ophthalmology - AIIMS MAY 2019,7
PYQ,Ophthalmology,Ophthalmology - AIIMS NOV 2018,7
PYQ,Ophthalmology,Ophthalmology - AIIMS NOV 2019,8
PYQ,Ophthalmology,Ophthalmology - INI CET JULY 2021,7
PYQ,Ophthalmology,Ophthalmology - INI CET MAY 2022,5
PYQ,Ophthalmology,Ophthalmology - INI CET NOV 2020,4
PYQ,Ophthalmology,Ophthalmology - INI CET NOV 2021,8
PYQ,Ophthalmology,Ophthalmology - NEET PG 2018,12
PYQ,Ophthalmology,Ophthalmology - NEET PG 2019,12
PYQ,Ophthalmology,Ophthalmology - NEET PG 2020,13
PYQ,Ophthalmology,Ophthalmology - NEET PG 2021,10
PYQ,Ophthalmology,Ophthalmology - NEET PG 2022,5
PYQ,Ophthalmology,Ophthalmology - INI CET MAY 2023,4
