subject,topic,question_count
ENT,Congenital Diseases of Larynx - Laryngomalacia,12
ENT,Anatomy Of External Ear & Tympanic Membrane,22
ENT,Anatomy of Middle Ear - (Medial & Posterior Walls),13
ENT,Anatomy of Middle Ear (Anterior Wall),10
ENT,Embryology of Ear,6
ENT,Facial Nerve & Vestibulocochlear Nerve Anatomy,12
ENT,Mastoid Anatomy,5
ENT,Diseases of External Nose,40
ENT,Chronic Laryngitis,7
ENT,Epiglottitis & Croup,9
ENT,Nasopharynx: Anatomy & Diseases,5
ENT,Glomus Tumour,7
ENT,Otosclerosis,17
ENT,Treatment of Otosclerosis & Stapedectomy,5
ENT,Audiometry,9
ENT,BERA & OAE,6
ENT,Electrocochleography & Cochlear Vs Retro-Cochlear,9
ENT,Tuning Fork Tests,12
ENT,Tympanometry,8
ENT,"Vestibular Function, Caloric Test & Fistula Tests",5
ENT,Assistive Devices For Hearing,8
ENT,Anatomy of Sinunes,16
ENT,Embryology of Nose & Sinuses,13
ENT,Physiology of Nose & Sinuses,4
ENT,Nasal Polyps,6
ENT,Acoustic Neuroma & Vestibular Neuronitis,10
ENT,"Deaf Child, Tinnitus & Hyperbaric Oxygen Therapy",11
ENT,Hearing Loss Review & Tympanic Membrane Images,24
ENT,Oral Cavity & Oropharynx,10
ENT,Introduction & Examination of ENT,4
ENT,BPPV,5
ENT,Ménière’S Disease,17
ENT,Juvenile Nasopharyngeal Angiofibroma,11
ENT,Nasopharyngeal Carcinoma,9
ENT,Pharyngeal Tumours,10
ENT,Salivary Gland Tumours & Parotidectomy,6
ENT,Anatomy Of Larynx (Part 1),10
ENT,Anatomy Of Larynx (Part 2),12
ENT,Laryngoscopy,5
ENT,Facial Nerve Paralysis,9
ENT,Surgeries Of Otitis Media,5
ENT,Fractures of Facial Bone & Csf Rhinorrhea,3
ENT,Vocal Cord Paralysis,17
ENT,Acute & Chronic Pharyngitis,3
ENT,Acute & Chronic Tonsillitis,6
ENT,Adenotonsillectomy,8
ENT,Laryngectomy,7
ENT,Neck Dissections,6
ENT,Speech Rehabilitation,4
ENT,Tracheostomy,13
ENT,Tracheostomy Tubes,9
ENT,Voice Disorders,13
ENT,Instruments for EAR,12
ENT,Instruments for Nose & Throat,3
ENT,Laser in Ent & Photodynamic Therapy,4
ENT,Obstructive Sleep Apnea Syndrome,6
ENT,Recent Advances in Ent Surgeries & Therapies,3
ENT,Tumours of Nose & Sinuses,6
ENT,Disease of External Ear,30
ENT,ASOM,19
ENT,Cholesteatoma & Tuberculosis of Ear,11
ENT,Csom,13
ENT,Extracranial Complications & Labyrinthitis,2
ENT,Extracranial Complications & Mastoiditis,12
ENT,Intracranial Complications,3
ENT,Serous Otitis Media (Som),7
ENT,Anatomy of Throat & Neck Spaces,7
ENT,Anatomy of Throat & Tonsils,5
ENT,Neck Mass & Thyroid Swellings,6
ENT,Laryngeal Carcinoma,12
ENT,Laryngeal Papilloma,2
ENT,"Vocal Nodules, Polyps, Laryngocele",3
ENT,"Allergic, Vasomotor, Atrophic Rhinitis",12
ENT,Complications of Sinusitis,7
ENT,Infective Rhinosinusitis - 1 - Fungal Sinusitis,3
ENT,Infective Rhinosinusitis Part 2 - Bacterial Sinusitis,3
ENT,Surgeries for Rhinosinusitis,6
ENT,Epistaxis & Deviated Nasal Septum,29
ENT,Granulomatous Diseases of Nose,9
Orthopaedics,Instruments & Implants In Ortho,14
Orthopaedics,Infective Arthritis & Other Infections,20
Orthopaedics,Osteomyelitis,29
Orthopaedics,TB Osteomyelitis,28
Orthopaedics,Anatomy & Physiology Of Bone,37
Orthopaedics,Joint Disorders,33
Orthopaedics,Basic Terminology & Coxa Vara,8
Orthopaedics,Cdh & Blounts Disease,9
Orthopaedics,Ctev & Achondroplasia,8
Orthopaedics,Perthe’S Disease & Scfe,9
Orthopaedics,Splints & Tractions In Ortho,10
Orthopaedics,Amputations,8
Orthopaedics,Basics Of Trauma General Considerations (Part-1),12
Orthopaedics,Basics Of Trauma General Considerations (Part-2),15
Orthopaedics,Eponym’s of fractures,5
Orthopaedics,Lower Limb (Dislocation Of Hip And Fracture Nof),33
Orthopaedics,Lower Limb (Other Fracture Till Toes),11
Orthopaedics,Lower Limb (Trendelenburg & Pelvic Fracture),11
Orthopaedics,Spine And Regional Conditions,24
Orthopaedics,Sports Injury (Part-1),7
Orthopaedics,Sports Injury (Part-2),5
Orthopaedics,Upper Limb (Clavicle & Shoulder Dislocation),16
Orthopaedics,Upper Limb (Fracture Proximal & Shaft Humerus),3
Orthopaedics,Upper Limb (Fracture Sc Humerus Till Fingers),9
Orthopaedics,Basics Of Metabolic Disorders,3
Orthopaedics,Osteoporosis,15
Orthopaedics,Paget & Osteopetrosis,22
Orthopaedics,Rickets & Osteomalacia,20
Orthopaedics,Scurvy & Osteogenesis Imperfecta,12
Orthopaedics,Skeletal Dysplasia,4
Orthopaedics,Soft Tissue Conditions,7
Orthopaedics,Basic Peripheral Nerve Injuries,19
Orthopaedics,Entrapment Neuropathies,11
Orthopaedics,Specific Nerve Injuries (Part-1),14
Orthopaedics,Specific Nerve Injuries (Part-2),14
Orthopaedics,Basics Of Bone Tumors,13
Orthopaedics,Benign Aggressive Tumors,20
Orthopaedics,Benign Lesions Of Bone,11
Orthopaedics,Malignant Tumors,32
Orthopaedics,Complication In Orthopaedics,28
Microbiology,Cholera,12
Microbiology,E. Coli Diarrhoeal Disease,34
Microbiology,Helminthic Gastroenteritis,14
