prof,subject,module,mcq_count
Prof 1,Anatomy,Gametogenesis and IVF,30
Prof 1,Anatomy,Fertilization & Early Embryonic Development (First 2 Weeks),12
Prof 1,Anatomy,Development Period,10
Prof 1,Anatomy,General Embryology,27
Prof 1,Anatomy,Previous Year Questions,41
Prof 1,Anatomy,Tissue Histology- I,19
Prof 1,Anatomy,Tissue Histology- II,20
Prof 1,Anatomy,Tissue Histology- III,10
Prof 1,Anatomy,Integumentary & Special Sensory Histology,6
Prof 1,Anatomy,Previous Year Questions,24
Prof 1,Anatomy,Osteology and Arthrology - I,15
Prof 1,Anatomy,Osteology and Arthrology - II,12
Prof 1,Anatomy,Previous Year Questions,6
Prof 1,Anatomy,Nervous System Development,21
Prof 1,Anatomy,Neuroendocrine Histology & Microscopic Anatomy,6
Prof 1,Anatomy,"Ventricular System, White Matter, and Neural Columns",16
Prof 1,Anatomy,Cerebrum and Associated Structures,17
Prof 1,Anatomy,"Deep Brain Structures: Basal Ganglia, Thalamus & Limbic System",9
Prof 1,Anatomy,"Brainstem, Cranial Nerves, and Cerebellum - I",26
Prof 1,Anatomy,"Brainstem, Cranial Nerves, and Cerebellum - II",18
Prof 1,Anatomy,Blood Supply of the Brain,9
Prof 1,Anatomy,"Applied Neuroanatomy: Tracts, Brainstem & Autonomic System",25
Prof 1,Anatomy,Previous Year Questions,49
Prof 1,Anatomy,"Pharyngeal Arches, Pouches and Clefts",23
Prof 1,Anatomy,"Head & Neck Anatomy: Skull, Foramina & Scalp",12
Prof 1,Anatomy,Skull Bones and Cranial Cavity- Part I,12
Prof 1,Anatomy,Cranial Cavity- Part II,16
Prof 1,Anatomy,Cranial Nerves and Cervical Plexus,28
Prof 1,Anatomy,"Scalenus Anterior, Head and Neck Vasculature and Lymphatic Drainage",17
Prof 1,Anatomy,"Scalp, Neck Triangles and Parotid Gland",15
Prof 1,Anatomy,"Pharynx, Esophagus, and Larynx - I",22
Prof 1,Anatomy,"Pharynx, Esophagus, and Larynx - II",5
Prof 1,Anatomy,"Anatomy of Ear, Nose, and Eyeball",11
Prof 1,Anatomy,Previous Year Questions,74
Prof 1,Anatomy,Upper Limb Embryology and Nerves,13
Prof 1,Anatomy,Upper Limb Joints: Anatomy & Clinical Correlations,11
Prof 1,Anatomy,Brachial Plexus and Nerves,8
Prof 1,Anatomy,Muscles and Bones of Forearm and Hand,18
Prof 1,Anatomy,"Bones and Muscles of Proximal Region, Axilla, and Scapula",13
Prof 1,Anatomy,Upper Limb: Nerve Supply and their Lesions,17
Prof 1,Anatomy,"Upper Limb: Arterial supply, Venous Drainage, Lymphatic Drainage, & Hand Spaces",15
Prof 1,Anatomy,Previous Year Questions,47
Prof 1,Anatomy,"Muscles and Nerve Supply of the Hip, Thigh, and Gluteal Region",25
Prof 1,Anatomy,Lower limb: Bones & Joints,14
Prof 1,Anatomy,Lower Limb Anatomy: Knee and Leg,20
Prof 1,Anatomy,Vascular Supply of Lower Limb,24
Prof 1,Anatomy,Muscles & Other Important Structures of the Lower Limb,15
Prof 1,Anatomy,Previous Year Questions,36
Prof 1,Anatomy,Development of the Cardiovascular System and Fetal Circulation,12
Prof 1,Anatomy,"Respiratory Anatomy: Lungs, Pleura & Diaphragm",4
Prof 1,Anatomy,"Histology of Vascular, Lymphoid & Respiratory Systems",4
Prof 1,Anatomy,Heart and Thorax Anatomy - I,30
Prof 1,Anatomy,Heart and Thorax Anatomy - II,3
Prof 1,Anatomy,"Thorax: Lungs, Joints, Respiratory Movements",20
